iter	Passed	Remaining
832	1313	263
833	1314	261
834	1315	259
835	1316	258
836	1318	256
837	1319	255
838	1320	253
839	1321	251
840	1323	250
841	1324	248
842	1325	246
843	1326	245
844	1327	243
845	1328	241
846	1330	240
847	1331	238
848	1332	237
849	1334	235
850	1335	233
851	1336	232
852	1337	230
853	1339	228
854	1340	227
855	1341	225
856	1343	224
857	1344	222
858	1345	220
859	1347	219
860	1348	217
861	1349	216
862	1351	214
863	1352	212
864	1353	211
865	1355	209
866	1356	208
867	1357	206
868	1358	204
869	1360	203
870	1361	201
871	1362	200
872	1364	198
873	1365	196
874	1366	195
875	1368	193
876	1369	192
877	1371	190
878	1372	188
879	1374	187
880	1375	185
881	1376	184
882	1378	182
883	1379	181
884	1381	179
885	1382	177
886	1384	176
887	1385	174
888	1387	173
889	1388	171
890	1389	169
891	1390	168
892	1392	166
893	1393	165
894	1394	163
895	1395	162
896	1396	160
897	1398	158
898	1399	157
899	1400	155
900	1401	154
901	1402	152
902	1404	150
903	1405	149
904	1406	147
905	1407	146
906	1408	144
907	1410	142
908	1411	141
909	1412	139
910	1413	138
911	1415	136
912	1416	134
913	1417	133
914	1418	131
915	1419	130
916	1421	128
917	1422	127
918	1423	125
919	1424	123
920	1425	122
921	1427	120
922	1428	119
923	1429	117
924	1430	116
925	1432	114
926	1438	113
927	1444	112
928	1449	110
929	1455	109
930	1460	108
931	1466	106
932	1471	105
933	1477	104
934	1482	103
935	1488	101
936	1494	100
937	1499	99
938	1504	97
939	1510	96
940	1515	95
941	1521	93
942	1526	92
943	1531	90
944	1537	89
945	1542	88
946	1548	86
947	1555	85
948	1561	83
949	1567	82
950	1572	81
951	1578	79
952	1584	78
953	1590	76
954	1595	75
955	1601	73
956	1606	72
957	1612	70
958	1617	69
959	1623	67
960	1629	66
961	1634	64
962	1640	63
963	1645	61
964	1651	59
965	1657	58
966	1663	56
967	1669	55
968	1674	53
969	1680	51
970	1685	50
971	1691	48
972	1697	47
973	1703	45
974	1709	43
975	1714	42
976	1720	40
977	1727	38
978	1732	37
979	1738	35
980	1744	33
981	1750	32
982	1755	30
983	1761	28
984	1768	26
985	1773	25
986	1779	23
987	1784	21
988	1790	19
989	1796	18
990	1801	16
991	1807	14
992	1813	12
993	1820	10
994	1826	9
995	1831	7
996	1837	5
997	1843	3
998	1849	1
999	1855	0
